threads_per_block,size,time
1, 1000, 0.002688
1, 10000, 0.03305
1, 100000, 0.42967
1, 1000000, 4.39657
1, 10000000, 40.5425
16, 1000, 0.025000
64, 1000, 0.022000
128, 1000, 0.020000
256, 1000, 0.023000
16, 10000, 0.023000
64, 10000, 0.022000
128, 10000, 0.022000
256, 10000, 0.021000
16, 100000, 0.063000
64, 100000, 0.057000
128, 100000, 0.049000
256, 100000, 0.046000
16, 1000000, 0.273000
64, 1000000, 0.128000
128, 1000000, 0.125000
256, 1000000, 0.122000
16, 10000000, 2.011000
64, 10000000, 0.535000
128, 10000000, 0.528000
256, 10000000, 0.524000
