bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
1;1;3;0.005589;0.079040;0.008813;0.003992;0.129283
1;1;3;0.007214;0.076733;0.008425;0.003454;0.128247
1;1;3;0.005537;0.069668;0.008313;0.003773;0.117385
2;1;3;0.005576;0.054482;0.006649;0.002461;0.082037
2;1;3;0.006416;0.051526;0.006727;0.002259;0.079225
2;1;3;0.005007;0.051398;0.006309;0.002150;0.077636
3;1;3;0.005405;0.046839;0.006775;0.001899;0.068871
3;1;3;0.006284;0.046348;0.006063;0.001721;0.066709
3;1;3;0.004799;0.045432;0.007611;0.002302;0.067502
4;1;3;0.005405;0.059557;0.009768;0.002116;0.081550
4;1;3;0.006504;0.041450;0.006365;0.001582;0.059510
4;1;3;0.004994;0.040898;0.006264;0.001602;0.058106
5;1;3;0.005363;0.037614;0.005897;0.001443;0.052924
5;1;3;0.006363;0.036324;0.006773;0.002458;0.053362
5;1;3;0.004930;0.036947;0.006012;0.001370;0.051729
6;1;3;0.005196;0.034612;0.006087;0.001328;0.048871
6;1;3;0.006487;0.033722;0.006330;0.001351;0.047797
6;1;3;0.004937;0.034229;0.006038;0.001275;0.048264
7;1;3;0.004898;0.031670;0.006110;0.001248;0.044673
7;1;3;0.006472;0.031234;0.006579;0.001250;0.044750
7;1;3;0.005073;0.031369;0.006300;0.001210;0.044180
8;1;3;0.005642;0.030914;0.006385;0.001168;0.043926
8;1;3;0.006381;0.029603;0.006216;0.001275;0.042656
8;1;3;0.005022;0.029129;0.006532;0.001275;0.041969
9;1;3;0.005496;0.030408;0.007106;0.001151;0.043419
9;1;3;0.006446;0.027595;0.006420;0.001128;0.039385
9;1;3;0.005058;0.027114;0.006466;0.001143;0.038986
10;1;3;0.004783;0.026980;0.006950;0.001116;0.039549
10;1;3;0.006309;0.026175;0.006598;0.001099;0.037813
10;1;3;0.004806;0.026399;0.006428;0.001172;0.038670
11;1;3;0.005560;0.025834;0.007175;0.001087;0.037773
11;1;3;0.006414;0.026283;0.007668;0.001134;0.039410
11;1;3;0.005287;0.027500;0.008039;0.001268;0.040953
12;1;3;0.006866;0.026404;0.007167;0.001159;0.039532
12;1;3;0.006523;0.025553;0.008190;0.001133;0.038681
12;1;3;0.004965;0.023842;0.007024;0.001062;0.035460
13;1;3;0.004956;0.024013;0.007561;0.001065;0.035842
13;1;3;0.006256;0.022416;0.007239;0.001043;0.034010
13;1;3;0.005111;0.022531;0.007221;0.001049;0.033852
14;1;3;0.005421;0.021947;0.008312;0.001085;0.034573
14;1;3;0.006898;0.021837;0.007598;0.001052;0.033744
14;1;3;0.005015;0.021929;0.007635;0.001029;0.033531
15;1;3;0.005306;0.021291;0.007746;0.001300;0.033470
15;1;3;0.006704;0.019842;0.008104;0.001053;0.031863
15;1;3;0.005082;0.019900;0.008160;0.001034;0.031869
16;1;3;0.004949;0.021963;0.008410;0.001208;0.034432
16;1;3;0.006283;0.020017;0.008103;0.001016;0.031902
16;1;3;0.004849;0.024189;0.008196;0.001024;0.036120
17;1;3;0.005643;0.021210;0.009298;0.001097;0.034524
17;1;3;0.007136;0.020268;0.008197;0.000994;0.032131
17;1;3;0.005267;0.019079;0.009214;0.001616;0.033359
18;1;3;0.005505;0.020074;0.009383;0.001049;0.033264
18;1;3;0.006164;0.018530;0.009509;0.001021;0.031693
18;1;3;0.004727;0.017813;0.009408;0.001321;0.031132
19;1;3;0.005208;0.019249;0.008816;0.000992;0.031558
19;1;3;0.006105;0.019463;0.008975;0.000975;0.031684
19;1;3;0.004859;0.018920;0.008827;0.000974;0.031049
20;1;3;0.005189;0.018446;0.009316;0.000991;0.031316
20;1;3;0.006915;0.016863;0.009545;0.000983;0.029724
20;1;3;0.005301;0.017271;0.009036;0.000995;0.029647
21;1;3;0.004826;0.017692;0.009299;0.001122;0.030680
21;1;3;0.006211;0.016744;0.009250;0.001043;0.029151
21;1;3;0.005289;0.017451;0.008849;0.001065;0.029421
22;1;3;0.006336;0.016901;0.009232;0.000969;0.029671
22;1;3;0.006225;0.016455;0.009258;0.000972;0.028842
22;1;3;0.005290;0.016172;0.008934;0.001041;0.028665
23;1;3;0.005512;0.017808;0.009440;0.000959;0.030364
23;1;3;0.006450;0.016012;0.009500;0.001184;0.028892
23;1;3;0.005170;0.016334;0.009558;0.001010;0.029173
24;1;3;0.004789;0.018734;0.009327;0.000951;0.030866
24;1;3;0.006150;0.016928;0.009312;0.000947;0.029165
24;1;3;0.004908;0.017214;0.009809;0.000948;0.029849
25;1;3;0.005086;0.016506;0.009832;0.001240;0.030184
25;1;3;0.006475;0.015384;0.009763;0.000953;0.028112
25;1;3;0.005158;0.016361;0.009222;0.000949;0.028868
26;1;3;0.004791;0.018273;0.009873;0.000938;0.031279
26;1;3;0.006797;0.015752;0.009341;0.000936;0.027990
26;1;3;0.005400;0.015211;0.010173;0.000979;0.028349
27;1;3;0.006210;0.016913;0.009488;0.001013;0.029928
27;1;3;0.006780;0.015033;0.010564;0.001323;0.028775
27;1;3;0.005182;0.014570;0.009571;0.001140;0.027068
28;1;3;0.005236;0.015595;0.010099;0.000950;0.028342
28;1;3;0.006163;0.015110;0.010640;0.000957;0.028548
28;1;3;0.004927;0.014588;0.010078;0.001278;0.027873
29;1;3;0.004745;0.015888;0.009791;0.001299;0.028530
29;1;3;0.006433;0.014897;0.010462;0.000931;0.027965
29;1;3;0.004924;0.015012;0.010269;0.000938;0.027756
30;1;3;0.005242;0.015798;0.009921;0.000928;0.028153
30;1;3;0.006169;0.014761;0.009553;0.000924;0.027200
30;1;3;0.004741;0.014857;0.010094;0.000933;0.027393
31;1;3;0.005320;0.015855;0.009923;0.000938;0.028618
