bucket_size;no_threads;algorithm_version;rand_gen_time;split_to_buckets_time;sort_buckets_time;write_sorted_buckets_time;sort_time
20;1;3;0.729785;4.652835;1.304092;0.161246;6.557249
20;1;3;0.940837;4.358408;1.295232;0.158617;6.238125
20;1;3;0.694847;4.337179;1.303681;0.160442;6.229568
20;2;3;0.361724;3.188673;0.666370;0.082748;4.502953
20;2;3;0.463832;2.985681;0.650020;0.081468;4.275936
20;2;3;0.358196;2.985555;0.650547;0.079006;4.263636
20;3;3;0.244646;2.479633;0.447733;0.053268;3.648248
20;3;3;0.312298;2.488163;0.446848;0.053499;3.667178
20;3;3;0.242624;2.437457;0.443288;0.053046;3.592167
20;4;3;0.186161;2.097733;0.337147;0.040379;3.272805
20;4;3;0.242437;2.064006;0.342265;0.041372;3.214806
20;4;3;0.182903;2.032733;0.341715;0.041889;3.185526
20;5;3;0.148874;1.812282;0.276965;0.032855;3.011864
20;5;3;0.195668;1.704286;0.274517;0.032852;2.901208
20;5;3;0.148063;1.825461;0.274933;0.033039;3.000289
20;6;3;0.125034;1.580808;0.241459;0.027941;2.818271
20;6;3;0.159685;1.577215;0.234300;0.028067;2.801565
20;6;3;0.125252;1.528771;0.240300;0.028319;2.758597
20;7;3;0.107319;1.399433;0.205396;0.024647;2.688132
20;7;3;0.137259;1.333970;0.209314;0.025269;2.629824
20;7;3;0.109510;1.400874;0.227800;0.026641;2.726021
20;8;3;0.096931;1.311953;0.187730;0.023179;2.684371
20;8;3;0.122803;1.224340;0.185116;0.022673;2.572560
20;8;3;0.097552;1.201111;0.192023;0.024873;2.555562
