threads;size;schedule;time
1;1000;schedule(static);0.000074
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000078
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000078
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000079
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000078
1;1000;schedule(static);0.000077
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000089
1;1000;schedule(static);0.000075
1;1000;schedule(static);0.000075
1;1000;schedule(static);0.000074
1;1000;schedule(static);0.000074
1;1000;schedule(static);0.000074
1;1000;schedule(static);0.000074
1;1000;schedule(static);0.000074
1;1000;schedule(static);0.000074
1;1000;schedule(static);0.000075
1;1000;schedule(static);0.000075
1;1000;schedule(static);0.000075
1;1000;schedule(static);0.000076
1;1000;schedule(static);0.000074
1;1000;schedule(static);0.000074
2;1000;schedule(static);0.000133
2;1000;schedule(static);0.000111
2;1000;schedule(static);0.000066
2;1000;schedule(static);0.000070
2;1000;schedule(static);0.000068
2;1000;schedule(static);0.000143
2;1000;schedule(static);0.000080
2;1000;schedule(static);0.000073
2;1000;schedule(static);0.000093
2;1000;schedule(static);0.000068
2;1000;schedule(static);0.000064
2;1000;schedule(static);0.000068
2;1000;schedule(static);0.000063
2;1000;schedule(static);0.000088
2;1000;schedule(static);0.000064
2;1000;schedule(static);0.000063
2;1000;schedule(static);0.000065
2;1000;schedule(static);0.000074
2;1000;schedule(static);0.000086
2;1000;schedule(static);0.000066
2;1000;schedule(static);0.000061
2;1000;schedule(static);0.000077
2;1000;schedule(static);0.000063
2;1000;schedule(static);0.000061
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000062
2;1000;schedule(static);0.000061
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000060
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000062
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000063
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000063
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000061
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000062
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000060
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000059
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000057
2;1000;schedule(static);0.000058
2;1000;schedule(static);0.000058
3;1000;schedule(static);0.000144
3;1000;schedule(static);0.000058
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000079
3;1000;schedule(static);0.000053
3;1000;schedule(static);0.000065
3;1000;schedule(static);0.000087
3;1000;schedule(static);0.000082
3;1000;schedule(static);0.000069
3;1000;schedule(static);0.000068
3;1000;schedule(static);0.000058
3;1000;schedule(static);0.000076
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000047
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000056
3;1000;schedule(static);0.000054
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000053
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000055
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000054
3;1000;schedule(static);0.000059
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000053
3;1000;schedule(static);0.000081
3;1000;schedule(static);0.000055
3;1000;schedule(static);0.000055
3;1000;schedule(static);0.000054
3;1000;schedule(static);0.000058
3;1000;schedule(static);0.000052
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000048
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000055
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000049
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000066
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000060
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000056
3;1000;schedule(static);0.000073
3;1000;schedule(static);0.000053
3;1000;schedule(static);0.000056
3;1000;schedule(static);0.000052
3;1000;schedule(static);0.000051
3;1000;schedule(static);0.000050
3;1000;schedule(static);0.000049
4;1000;schedule(static);0.000135
4;1000;schedule(static);0.000107
4;1000;schedule(static);0.000080
4;1000;schedule(static);0.000077
4;1000;schedule(static);0.000079
4;1000;schedule(static);0.000073
4;1000;schedule(static);0.000084
